,Company,Location,Date,Job_Title,Subspecialty,Years_Experience,Total_Comp
912,IBM,"Austin, T",| 2/4/20,9,Web Development (Front-End),,"$169,000"
913,Apple,"Cupertino, C",| 2/4/20,SW Dev Eng Mgr 2,Software Engineering for all Apple platforms,,"$600,000"
914,Facebook,"Menlo Park, C",| 2/3/20,M1,ML / AI,,"$700,000"
915,Nordstrom,"Seattle, W",| 2/3/20,18,Data,,"$213,000"
916,Amazon,"Irvine, C",| 2/3/20,L6 SDM,Full Stack,,"$288,000"
917,Comcast,"Denver, C",| 2/3/20,Director,DevOps,,"$246,000"
918,Walmart Labs,"San Bruno, C",| 2/2/20,L7,Distributed Systems (Back-End),,"$300,000"
919,Facebook,"Seattle, W",| 2/2/20,M1,API Development (Back-End),,"$575,000"
920,Tesla,"Palo Alto, C",| 2/2/20,Senior Engineer,DevOps,,"$500,000"
921,Yext,"Vienna, V",| 2/2/20,M2,Web Development (Front-End),,"$245,000"
922,Airbnb,"San Francisco, C",| 2/1/20,L6,DevOps,,"$600,000"
923,Deutsche bank,"Moscow, MC, Russia", 1/30/20,VP,Full Stack,,"$110,000"
924,Verizon,"Sunnyvale, CA", 1/30/20,M6,ML / AI,,"$749,000"
925,Adobe,"San Jose, CA", 1/30/20,L40,Web Development (Front-End),,"$360,000"
926,Snap,"Los Angeles, CA", 1/29/20,Senior,Mobile (iOS + Android),,"$616,000"
927,Square,"Atlanta, GA", 1/29/20,Level 6,Full Stack,,"$546,000"
928,Samsung,"Mountain View, CA", 1/29/20,L5,API Development (Back-End),,"$203,000"
929,Microsoft,"Redmond, WA", 1/28/20,66,ML / AI,,"$345,000"
930,Amazon,"Seattle, WA", 1/28/20,L6 SDM,Distributed Systems (Back-End),,"$250,000"
931,Microsoft,"Redmond, WA", 1/28/20,65,DevOps,,"$273,000"
932,PayPal,"San Jose, CA", 1/27/20,Member of Technical Staff 2,Web Development (Front-End),,"$320,000"
933,Spotify,"New York, NY", 1/27/20,Engineering Manager I,Full Stack,,"$155,000"
934,Amazon,"Boston, MA", 1/27/20,L7,Distributed Systems (Back-End),,"$560,000"
935,Wayfair,"Boston, MA", 1/27/20,L3,Full Stack,,"$205,000"
936,Comcast,"Austin, TX", 1/27/20,L4,Full Stack,,"$145,000"
937,Capital One,"New York, NY", 1/27/20,Director of Software Eng,Full Stack,,"$300,000"
938,Facebook,"Menlo Park, CA", 1/26/20,M1,Android,,"$810,000"
