,Company,Location,Date,Job_Title,Subspecialty,Years_Experience,Total_Comp
122,Accenture,"Singapore, SG, Singapor",| 9/6/20,Senior Manager,Digital,,"$200,000"
123,Salesforce,"San Francisco, C",| 9/5/20,7,"Solutions Engineering, Enablement",,"$161,000"
124,Ericsson,"Seattle, W",| 9/5/20,JS8,DevOps,,"$220,000"
125,Microsoft,"Redmond, W",| 9/4/20,65,Data,,"$260,000"
126,Amazon,"Sunnyvale, C",| 9/4/20,L6,Production,,"$260,000"
127,Tesla,"Fremont, C",| 9/4/20,P2,NPI,,"$158,000"
128,Microsoft,"Austin, T",| 9/4/20,65,Azure,,"$279,000"
129,Samsung Electronics America,"Plano, T",| 9/4/20,L3,5G Networks,,"$150,000"
130,Uber,"San Francisco, C",| 9/4/20,L5A,Full Stack,,"$290,000"
131,Microsoft,"Atlanta, G",| 9/4/20,64,Azure,,"$230,000"
132,Microsoft,"Redmond, W",| 9/4/20,65,DevOps,,"$309,000"
133,Amazon,"Berlin, BE, German",| 9/3/20,L6,Full Stack,,"$142,000"
134,Microsoft,"Washington, D",| 9/3/20,65,Air Gapped Clouds,,"$346,000"
135,Cisco,"San Jose, C",| 9/3/20,10,operations,,"$155,000"
136,amazon,"Seattle, W",| 9/3/20,L5,Distributed Systems (Back-End),,"$185,000"
137,Oracle,"Seattle, W",| 9/3/20,IC-3,Training Development,,"$105,000"
138,Microsoft,"Redmond, W",| 9/3/20,64,Site Reliability (SRE),,"$243,000"
139,Amazon,"Seattle, W",| 9/3/20,L5,Full Stack,,"$183,000"
140,BlackRock,"Edinburgh, SC, United Kingdo",| 9/3/20,Director,Data,,"$150,000"
141,Microsoft,"Redmond, W",| 9/3/20,66,Full Stack,,"$350,000"
142,Facebook,"Redmond, W",| 9/2/20,M1,NA,,"$500,000"
143,Microsoft,"Redmond, W",| 9/2/20,66,Full Stack,,"$349,000"
144,Apple,"Cupertino, C",| 9/2/20,IC4,Production,,"$250,000"
145,LinkedIn,"Sunnyvale, C",| 9/2/20,L2,Distributed Systems (Back-End),,"$210,000"
146,Apple,"Cupertino, C",| 9/2/20,ICT4,Security,,"$280,000"
147,Amazon,"Seattle, W",| 9/2/20,L5,Production,,"$240,000"
148,HBO,"Seattle, W",| 9/2/20,L4,Distributed Systems (Back-End),,"$215,000"
149,Cisco,"San Jose, C",| 9/1/20,G6,e-commerce,,"$151,000"
150,Facebook,"Seattle, W",| 9/1/20,L5 Product Manager,Full Stack,,"$354,000"
151,Oracle,"Bangalore, KA, Indi",| 9/1/20,IC-5,Security,,"$128,000"
152,Google,"Sunnyvale, C",| 9/1/20,L4,Cloud,,"$237,000"
153,Google,"New York, NY", 8/31/20,L4,Site Reliability (SRE),,"$250,000"
154,Microsoft,"Redmond, WA", 8/31/20,63,Data Center Construction,,"$179,000"
155,SAP,"Newtown Square, PA", 8/30/20,T4,Cloud,,"$210,000"
156,Oracle,"Melbourne, VI, Australia", 8/29/20,IC-3,Production,,"$101,000"
157,Google,"San Francisco, CA", 8/29/20,L5,Full Stack,,"$298,000"
158,Microsoft,"Reston, VA", 8/28/20,64,Full Stack,,"$275,000"
159,Google,"Mountain View, CA", 8/27/20,L6,Program management,,"$320,000"
160,Microsoft,"Redmond, WA", 8/27/20,L63,Production,,"$181,000"
161,Microsoft,"San Jose, CA", 8/27/20,65,Production,,"$326,000"
162,Cisco,"Raleigh, NC", 8/27/20,Grade 12,Networking,,"$245,000"
163,Microsoft,"Seattle, WA", 8/27/20,60,ML / AI,,"$175,000"
164,Nike,"Beaverton, OR", 8/26/20,U,Technical Operations,,"$137,000"
165,Google,"Seattle, WA", 8/26/20,L5,Android,,"$280,000"
166,Amazon,"Austin, TX", 8/26/20,L6,Distributed Systems (Back-End),,"$228,000"
167,AT&T,"Bengaluru, KA, India", 8/26/20,PROA4,Networking,,"$25,000"
